image,x,y,radius,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58
C:\Users\Noura\Desktop\ASU UNI TORTURE HELL FIRE\Senior 1\Sem 8\CV\Project\Coin-Counting-System\data\raw\001.jpg,413,644,65,65.0,13273.228515625,408.40704345703125,0.9855778217315674,1.0,0.9954914450645447,7.851842880249023,151.4612579345703,85.9244384765625,0.9866698980331421,0.013330121524631977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001365132862702012,0.007066570222377777,0.021280013024806976,0.059423431754112244,0.23159077763557434,0.39066892862319946,0.19216252863407135,0.0618324913084507,0.02136031538248062,0.007789287716150284,0.003452983219176531,0.002007548464462161,0.0,0.0,0.00040150966378860176,0.039669156074523926,0.4137958586215973,0.3207259178161621,0.1236649826169014,0.05829920619726181,0.02641933597624302,0.009796836413443089,0.0048181163147091866,0.001365132862702012,0.0006424154853448272,0.0001606038713362068,0.0002409058070043102,0.0,0.12382558733224869,60.20723342895508
C:\Users\Noura\Desktop\ASU UNI TORTURE HELL FIRE\Senior 1\Sem 8\CV\Project\Coin-Counting-System\data\raw\001.jpg,269,508,74,74.0,17203.361328125,464.9557189941406,0.9955558776855469,1.0,0.9997093677520752,9.221907615661621,141.91915893554688,78.58869171142578,0.967859148979187,0.03214087709784508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009851610520854592,0.017178745940327644,0.13238100707530975,0.4023151397705078,0.3477002680301666,0.08152207732200623,0.013730681501328945,0.0028939105104655027,0.000800443347543478,0.000369435379980132,0.0001231451315106824,0.0,0.0,0.001539314049296081,0.03109414502978325,0.5347577333450317,0.400591105222702,0.027215072885155678,0.003755926387384534,0.0009851610520854592,6.15725657553412e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.022350840270519257,28.956308364868164
C:\Users\Noura\Desktop\ASU UNI TORTURE HELL FIRE\Senior 1\Sem 8\CV\Project\Coin-Counting-System\data\raw\001.jpg,425,478,83,83.0,21642.431640625,521.50439453125,0.9935168623924255,1.0,0.9987030029296875,8.768367767333984,134.06924438476562,131.3065185546875,0.8525712490081787,0.14738017320632935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.856018858845346e-05,0.0,0.0,4.856018858845346e-05,0.0012625649105757475,0.01519933994859457,0.0661875382065773,0.18171222507953644,0.22881561517715454,0.189627543091774,0.12562520802021027,0.0812411978840828,0.0466177836060524,0.024620017036795616,0.014713738113641739,0.009274996817111969,0.015053658746182919,0.0,0.0,0.0027679307386279106,0.0311270821839571,0.113096684217453,0.1679697036743164,0.1369882971048355,0.10989171266555786,0.09085611253976822,0.06516777724027634,0.05273636803030968,0.05225076526403427,0.057883746922016144,0.05152236297726631,0.04491817578673363,0.022823289036750793,0.2325061857700348,111.41814422607422
C:\Users\Noura\Desktop\ASU UNI TORTURE HELL FIRE\Senior 1\Sem 8\CV\Project\Coin-Counting-System\data\raw\002.jpg,350,403,71,71.0,15836.7685546875,446.1061706542969,0.9964891672134399,1.0,1.0,12.369723320007324,152.40785217285156,108.24998474121094,0.3582848310470581,0.636497437953949,0.004281222820281982,0.00046825874596834183,0.0002675764262676239,0.0,0.00013378821313381195,6.689410656690598e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002541976049542427,0.003077128902077675,0.0040136463940143585,0.0039467522874474525,0.0039467522874474525,0.007692822255194187,0.017593150958418846,0.041474346071481705,0.18342363834381104,0.38444042205810547,0.23506589233875275,0.07398488372564316,0.023078467696905136,0.009164492599666119,0.0044819051399827,0.0020737173035740852,0.0,0.0,0.00013378821313381195,0.0007358351722359657,0.02194126695394516,0.1497759073972702,0.4640444219112396,0.2775436341762543,0.05886681377887726,0.016857314854860306,0.007291457615792751,0.0019399290904402733,0.0005351528525352478,0.0003344705328345299,0.0,0.0,0.13459093868732452,62.49384307861328
C:\Users\Noura\Desktop\ASU UNI TORTURE HELL FIRE\Senior 1\Sem 8\CV\Project\Coin-Counting-System\data\raw\003.jpg,326,394,67,67.0,14102.609375,420.9734191894531,0.9924416542053223,1.0,0.997867226600647,7.093724250793457,137.5756072998047,101.39237213134766,0.9983425140380859,0.0016575001645833254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004068409558385611,0.04934830218553543,0.21306411921977997,0.3985534608364105,0.24304980039596558,0.0751902386546135,0.012581933289766312,0.002561591099947691,0.0011301137274131179,0.00030136367422528565,0.00015068183711264282,0.0,0.0,0.00045204549678601325,0.003164318623021245,0.021095456555485725,0.3074662983417511,0.4829352796077728,0.1411135345697403,0.03691704943776131,0.006102614104747772,0.00045204549678601325,0.00030136367422528565,0.0,0.0,0.0,0.0,0.05725909769535065,35.54542922973633
C:\Users\Noura\Desktop\ASU UNI TORTURE HELL FIRE\Senior 1\Sem 8\CV\Project\Coin-Counting-System\data\raw\004.jpg,403,574,71,71.0,15836.7685546875,446.1061706542969,0.9964891672134399,1.0,1.0,10.74707317352295,138.61195373535156,170.42417907714844,0.6271991729736328,0.3728008568286896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003077128902077675,0.05826476588845253,0.2169375866651535,0.3737373650074005,0.2236270010471344,0.08040671795606613,0.027761055156588554,0.010903739370405674,0.0037460699677467346,0.0012040939182043076,0.0003344705328345299,0.0,0.0,0.0,0.00013378821313381195,0.00548531673848629,0.03625660762190819,0.0724463164806366,0.08856780081987381,0.11606127768754959,0.1111111119389534,0.0988025963306427,0.10475616902112961,0.11325172334909439,0.10769951343536377,0.08783195912837982,0.05759582668542862,0.27058666944503784,88.0371322631836
C:\Users\Noura\Desktop\ASU UNI TORTURE HELL FIRE\Senior 1\Sem 8\CV\Project\Coin-Counting-System\data\raw\005.jpg,355,506,67,67.0,14102.609375,420.9734191894531,0.9924416542053223,1.0,0.997867226600647,11.743163108825684,158.6471710205078,100.67957305908203,0.4309500455856323,0.5690499544143677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012054546969011426,0.0037670459132641554,0.007609432563185692,0.023054320365190506,0.13779853284358978,0.3813003897666931,0.3052060604095459,0.09003239870071411,0.028478866443037987,0.01167784258723259,0.00497250072658062,0.0048971595242619514,0.0,0.0,0.0,0.0053492053411901,0.046410005539655685,0.31394559144973755,0.46538084745407104,0.13275068998336792,0.018533864989876747,0.007157387211918831,0.0037670459132641554,0.002561591099947691,0.001431477488949895,0.0012807955499738455,0.0008287500822916627,0.0006027273484505713,0.09658705443143845,65.22299194335938
C:\Users\Noura\Desktop\ASU UNI TORTURE HELL FIRE\Senior 1\Sem 8\CV\Project\Coin-Counting-System\data\raw\006.jpg,379,470,70,70.0,15393.8037109375,439.8229675292969,0.9938111305236816,1.0,0.9980453252792358,10.989175796508789,155.2449493408203,102.5862808227539,0.6092382073402405,0.3876594305038452,0.0031023784540593624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006204756791703403,0.011926922015845776,0.04329541698098183,0.08679765462875366,0.2051706314086914,0.2520510256290436,0.18841779232025146,0.11161668598651886,0.05315408483147621,0.02557738684117794,0.01185797993093729,0.009513961151242256,0.0,0.0,0.0001378834858769551,0.008410892449319363,0.09624267369508743,0.31285762786865234,0.3284384608268738,0.12595656514167786,0.06735608726739883,0.041296105831861496,0.014615649357438087,0.0035849707201123238,0.0008962426800280809,0.00020682523609139025,0.0,0.0,0.20861771702766418,71.02593994140625
C:\Users\Noura\Desktop\ASU UNI TORTURE HELL FIRE\Senior 1\Sem 8\CV\Project\Coin-Counting-System\data\raw\007.jpg,288,475,71,71.0,15836.7685546875,446.1061706542969,0.9964891672134399,1.0,1.0,7.253528594970703,130.17051696777344,89.3676528930664,0.99565190076828,0.002541976049542427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018061408773064613,0.0,0.0,0.0,0.00020068231970071793,0.006555622443556786,0.04187571257352829,0.1695096641778946,0.2887149751186371,0.2468392550945282,0.13626329600811005,0.0590674951672554,0.02802863158285618,0.012509197928011417,0.005284634418785572,0.002675764262676239,0.002475081942975521,0.0,0.0,0.002140611410140991,0.1244899332523346,0.3473810851573944,0.18837380409240723,0.13338685035705566,0.09605994075536728,0.06475349515676498,0.02816241979598999,0.010502374731004238,0.002742658369243145,0.0010703057050704956,0.0006689410656690598,0.00020068231970071793,6.689410656690598e-05,0.18630008399486542,78.10282135009766
C:\Users\Noura\Desktop\ASU UNI TORTURE HELL FIRE\Senior 1\Sem 8\CV\Project\Coin-Counting-System\data\raw\007.jpg,450,485,78,78.0,19113.44921875,490.08843994140625,0.9947661757469177,1.0,0.9987941980361938,20.308414459228516,122.9979019165039,135.5487518310547,0.0007724137976765633,0.7751172184944153,0.22411035001277924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011034483031835407,0.0019862069748342037,0.0035310345701873302,0.0025379310827702284,0.0039724139496684074,0.0865655168890953,0.2622896432876587,0.26620689034461975,0.1964138001203537,0.09517241269350052,0.041600000113248825,0.020358620211482048,0.009600000455975533,0.004579310305416584,0.0021517241839319468,0.00292413798160851,0.0,0.0,0.00022068966063670814,0.002758620772510767,0.020800000056624413,0.10311724245548248,0.15817931294441223,0.1465379297733307,0.1443862020969391,0.1513931006193161,0.1452137976884842,0.09114482998847961,0.02797241322696209,0.0045241378247737885,0.0024275861214846373,0.001324137905612588,0.24910344183444977,91.37380981445312
C:\Users\Noura\Desktop\ASU UNI TORTURE HELL FIRE\Senior 1\Sem 8\CV\Project\Coin-Counting-System\data\raw\007.jpg,293,631,80,80.0,20106.193359375,502.6548156738281,0.9954766035079956,1.0,0.999029815196991,12.217279434204102,155.82762145996094,76.66455841064453,0.5020670890808105,0.4918624758720398,0.004762154072523117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013082840014249086,0.0,0.0,0.0005756450118497014,0.004814485553652048,0.018263645470142365,0.04338270053267479,0.06070438027381897,0.08200324326753616,0.10298812389373779,0.16437280178070068,0.24815532565116882,0.16562876105308533,0.05353498458862305,0.02344444952905178,0.0126641895622015,0.019467266276478767,0.00010466272215126082,0.008006698451936245,0.09011460840702057,0.19414936006069183,0.3584698438644409,0.19917316734790802,0.06766445189714432,0.03228845074772835,0.017426343634724617,0.00931498222053051,0.008059029467403889,0.00575644988566637,0.004657491110265255,0.002354911295697093,0.0019362603779882193,0.0005233136471360922,0.17829294502735138,113.65980529785156
C:\Users\Noura\Desktop\ASU UNI TORTURE HELL FIRE\Senior 1\Sem 8\CV\Project\Coin-Counting-System\data\raw\008.jpg,374,565,86,86.0,23235.21875,540.3539428710938,0.9957901835441589,1.0,0.9997842311859131,9.124746322631836,135.912841796875,103.33063507080078,0.9912799596786499,0.008629648014903069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.036280971486121e-05,0.0,0.0,0.0,0.0020783445797860622,0.013418876565992832,0.011882709339261055,0.01631048694252968,0.12429404258728027,0.5694664120674133,0.2481362670660019,0.014141779392957687,0.0002710884145926684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.036280971486121e-05,0.018388831987977028,0.27352821826934814,0.44874170422554016,0.2204400599002838,0.03162698075175285,0.006189852487295866,0.0009939909214153886,0.0,0.0,0.0,0.0,0.0,0.0664166659116745,28.208641052246094
C:\Users\Noura\Desktop\ASU UNI TORTURE HELL FIRE\Senior 1\Sem 8\CV\Project\Coin-Counting-System\data\raw\009.jpg,377,602,89,89.0,24884.5546875,559.2034912109375,0.9952206015586853,1.0,0.9987525939941406,10.387984275817871,137.779541015625,82.72169494628906,0.7956161499023438,0.20425765216350555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001262148143723607,0.0,0.0,0.0017670074012130499,0.0038285162299871445,0.004459590185433626,0.005974167957901955,0.019857797771692276,0.12057722359895706,0.5093188881874084,0.3049350082874298,0.028566621243953705,0.0006731456960551441,4.2071606003446504e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.004038874059915543,0.39336952567100525,0.5282090306282043,0.06171904504299164,0.009970970451831818,0.0023980815894901752,0.00029450125293806195,0.0,0.0,0.0,0.0,0.0,0.0,0.035213932394981384,28.754079818725586
C:\Users\Noura\Desktop\ASU UNI TORTURE HELL FIRE\Senior 1\Sem 8\CV\Project\Coin-Counting-System\data\raw\010.jpg,374,580,70,70.0,15393.8037109375,439.8229675292969,0.9938111305236816,1.0,0.9980453252792358,22.11809730529785,132.51568603515625,160.1172637939453,0.0,0.6248190402984619,0.3751809597015381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.894174293847755e-05,0.004274388309568167,0.09624267369508743,0.3643571138381958,0.3352636992931366,0.11127197742462158,0.043640125542879105,0.020544638857245445,0.009927610866725445,0.00682523287832737,0.003171320306137204,0.004412271548062563,0.0,0.0,0.0,0.000827300944365561,0.008204067125916481,0.02309548482298851,0.05811788886785507,0.12630127370357513,0.15091347694396973,0.14670802652835846,0.12402619421482086,0.11492589116096497,0.12044122815132141,0.09314029663801193,0.030334368348121643,0.0029644949827343225,0.23026542365550995,76.12870025634766
C:\Users\Noura\Desktop\ASU UNI TORTURE HELL FIRE\Senior 1\Sem 8\CV\Project\Coin-Counting-System\data\raw\011.jpg,660,319,55,55.0,9503.3173828125,345.5751953125,0.9879681468009949,1.0,0.996643602848053,83.40231323242188,64.68634033203125,170.7926025390625,0.08196163177490234,0.021795891225337982,0.007719377987086773,0.011124986223876476,0.007378817070275545,0.011465546675026417,0.04029969498515129,0.6121012568473816,0.08071290701627731,0.01441707368940115,0.01396299246698618,0.008968100883066654,0.01033034361898899,0.011919627897441387,0.021114768460392952,0.044726982712745667,0.18492451310157776,0.16800999641418457,0.10693608969449997,0.08627539873123169,0.070836640894413,0.075377456843853,0.08616188168525696,0.0765126571059227,0.08899988979101181,0.053468044847249985,0.0024974457919597626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011352026194799691,0.0,0.016233397647738457,0.08309683203697205,0.19888749718666077,0.22034282982349396,0.3268248438835144,0.15438756346702576,0.00011352026194799691,0.0,0.0,0.08389147371053696,39.93424987792969
C:\Users\Noura\Desktop\ASU UNI TORTURE HELL FIRE\Senior 1\Sem 8\CV\Project\Coin-Counting-System\data\raw\011.jpg,240,658,60,60.0,11309.7333984375,376.9911193847656,0.9855995774269104,1.0,0.9945776462554932,110.79672241210938,71.53273010253906,166.0662078857422,0.01591361127793789,0.001326134311966598,0.000663067155983299,9.472388046560809e-05,0.0005683432682417333,0.00018944776093121618,0.0012314104242250323,0.02121814899146557,0.5470303893089294,0.11167945712804794,0.044899120926856995,0.04243629798293114,0.03883679211139679,0.03372170031070709,0.05332954600453377,0.08686179667711258,0.08951406925916672,0.2658899426460266,0.14047551155090332,0.07805247604846954,0.06024438887834549,0.04698304459452629,0.04830917716026306,0.04840390384197235,0.05882352963089943,0.056644879281520844,0.048688072711229324,0.042057402431964874,0.014398030005395412,0.0015155820874497294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.472388046560809e-05,0.006251776125282049,0.09794449061155319,0.2771620750427246,0.2773515284061432,0.28672918677330017,0.05209813266992569,0.002368096960708499,0.0,0.0,0.21218149363994598,59.81474685668945
